number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
21,0.8467326760292053,2026-04-29 11:10:36.869159,2026-04-29 12:48:43.293192,0 days 01:38:06.424033,randaugment,64,,0.10204346155156183,,0.1,244,none,False,,0.0006986738487266539,0.15150337510210843,,adamw,2.0,,reduce_on_plateau,,,0.020045535620753487,COMPLETE
22,0.8146534562110901,2026-04-29 12:48:43.483078,2026-04-29 13:39:22.826132,0 days 00:50:39.343054,randaugment,32,,0.1024399023510499,,0.5,228,none,False,,0.0006430335442517136,0.16163914546915803,,adamw,5.0,,reduce_on_plateau,,,0.03360560103395905,PRUNED
23,0.6790099143981934,2026-04-29 13:39:22.917868,2026-04-29 13:52:07.321888,0 days 00:12:44.404020,randaugment,128,,0.35710618179436454,2.1435634517630045e-06,,336,layer4,False,,0.08151024204753961,0.16466228517575252,0.8279796583366913,sgd,,,cosine,,,0.0003782311455973683,PRUNED
24,0.6471947431564331,2026-04-29 13:52:07.418577,2026-04-29 14:13:14.762439,0 days 00:21:07.343862,randaugment,64,,0.1894865254915763,9.263087836307986e-06,,203,none,False,,0.0001886213231147325,0.04154070786912634,,adamw,,,warmup_cosine,,10.0,0.03243451144190031,PRUNED
25,0.8418481945991516,2026-04-29 14:13:14.861545,2026-04-29 16:50:02.395932,0 days 02:36:47.534387,moderate,64,,0.14100790159813592,,0.1,273,none,False,,0.0006970209668729644,0.1146045891180946,,adamw,2.0,,reduce_on_plateau,,,0.007431117536723382,COMPLETE
26,,2026-04-29 16:50:02.521048,2026-04-29 16:52:50.109388,0 days 00:02:47.588340,moderate,64,,0.12248207726556905,,0.1,267,none,False,,0.0006353553164901709,0.1268969760634592,,adamw,2.0,,reduce_on_plateau,,,0.00913450867181459,FAIL
27,0.8342574238777161,2026-04-29 17:21:25.084301,2026-04-29 19:00:33.365445,0 days 01:39:08.281144,moderate,64,,0.12892666739962935,,0.1,245,none,False,,0.0006250926726020154,0.12010346774388661,,adamw,2.0,,reduce_on_plateau,,,0.008438116317678135,PRUNED
28,,2026-04-29 19:00:36.439348,2026-04-29 19:12:44.767454,0 days 00:12:08.328106,moderate,64,,0.184148123487421,,0.1,266,none,False,,0.0006353638253387735,0.22081459884527022,,adamw,2.0,,reduce_on_plateau,,,0.013229670657217805,FAIL
29,0.80970299243927,2026-04-30 07:16:33.416984,2026-04-30 08:01:42.452470,0 days 00:45:09.035486,moderate,64,,0.17565346262194992,,0.1,286,none,False,,0.0006250926726020154,0.24326598512749562,,adamw,2.0,,reduce_on_plateau,,,0.013838713864867104,PRUNED
30,0.7918812036514282,2026-04-30 08:01:45.318852,2026-04-30 08:28:59.431987,0 days 00:27:14.113135,moderate,64,,0.24859290136732765,,0.2,266,none,False,,0.0002939540156142777,0.048196803434182256,,adamw,3.0,,reduce_on_plateau,,,0.023392014507357627,PRUNED
