number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_weight_decay,state
0,0.6603960394859314,2026-04-16 14:55:31.915111,2026-04-16 15:35:16.516775,0 days 00:39:44.601664,minimal,64,50.0,0.4329770563201687,,,501,layer4,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
1,0.6269966959953308,2026-04-16 15:35:16.652481,2026-04-16 16:15:20.482096,0 days 00:40:03.829615,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
2,0.42838284373283386,2026-04-16 16:15:20.605448,2026-04-16 18:03:18.189835,0 days 01:47:57.584387,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,COMPLETE
3,,2026-04-16 18:03:18.326747,2026-04-16 18:28:31.967695,0 days 00:25:13.640948,aggressive,64,,0.1431565707973218,,0.1,137,layer4,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,FAIL
4,0.6623102426528931,2026-04-17 07:13:42.344350,2026-04-17 08:06:07.479533,0 days 00:52:25.135183,minimal,64,50.0,0.4329770563201687,,,501,layer4,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
5,0.625808596611023,2026-04-17 08:06:07.622981,2026-04-17 08:45:54.472736,0 days 00:39:46.849755,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
6,0.3310891091823578,2026-04-17 08:45:54.593497,2026-04-17 09:05:25.350730,0 days 00:19:30.757233,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,PRUNED
7,0.30066007375717163,2026-04-17 09:05:25.463947,2026-04-17 09:22:59.531094,0 days 00:17:34.067147,aggressive,64,,0.1431565707973218,,0.1,137,layer4,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,PRUNED
8,0.5033663511276245,2026-04-17 09:22:59.636147,2026-04-17 09:32:59.863621,0 days 00:10:00.227474,minimal,32,,0.2669644012595116,,,324,layer4,False,0.2,0.0010903884523201113,1.0,,adam,,,step,5.0,0.0002547052623339115,PRUNED
9,0.285610556602478,2026-04-17 09:32:59.980343,2026-04-17 09:50:18.124122,0 days 00:17:18.143779,aggressive,128,,0.2471132530877013,,,408,layer4,True,0.5,0.004380867619725789,0.1,0.8354385169759724,sgd,,,step,10.0,1.2065637774378933e-05,PRUNED
10,0.7549175024032593,2026-04-17 09:50:18.236803,2026-04-17 10:29:42.798202,0 days 00:39:24.561399,minimal,64,10.0,0.4588863031813307,,,163,layer3,False,,0.06226163482363463,0.01,0.9685464206103722,sgd,,0.1,one_cycle,,0.0003628700225554067,COMPLETE
11,0.39577558636665344,2026-04-17 10:29:42.929934,2026-04-17 10:46:27.481938,0 days 00:16:44.552004,moderate,32,,0.3383837032981383,,0.2,243,layer3,True,,0.00015629229179122423,1.0,,adam,3.0,,reduce_on_plateau,,0.0009654400943128413,PRUNED
12,0.7538613677024841,2026-04-17 10:46:27.612450,2026-04-17 11:25:23.304548,0 days 00:38:55.692098,minimal,64,10.0,0.3723618878672689,,,505,layer3,False,,0.09327525231739431,0.01,0.921928893125897,sgd,,0.2,one_cycle,,5.688379606678082e-05,COMPLETE
13,0.7615841627120972,2026-04-17 11:25:23.433236,2026-04-17 13:04:43.401335,0 days 01:39:19.968099,moderate,64,10.0,0.354678371162756,,,286,layer3,False,,0.09950083673887328,0.01,0.9306999498990434,sgd,,0.2,one_cycle,,4.044758550598602e-05,COMPLETE
14,0.7639604210853577,2026-04-17 13:04:43.523969,2026-04-17 14:44:38.734375,0 days 01:39:55.210406,moderate,64,10.0,0.3647080858469187,,,238,layer3,False,,0.08861274774789778,0.01,0.9333934128523687,sgd,,0.3,one_cycle,,4.5430789974378905e-05,COMPLETE
15,0.7500990033149719,2026-04-17 14:44:38.845214,2026-04-17 16:24:15.060565,0 days 01:39:36.215351,moderate,64,10.0,0.3628581217310244,,,271,layer3,False,,0.03317781148707246,0.01,0.9157020732759248,sgd,,0.3,one_cycle,,3.3842156023226225e-05,COMPLETE
