number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
21,0.6877227425575256,2026-05-04 20:30:49.975913,2026-05-04 21:00:12.753000,0 days 00:29:22.777087,aggressive,64,10.0,0.19529454878174138,,,207,none,False,,0.0007708273880839858,0.04497364342119012,,adamw,,0.2,one_cycle,,,0.002476945401466371,PRUNED
22,0.7899010181427002,2026-05-04 21:00:15.381163,2026-05-04 21:25:41.324214,0 days 00:25:25.943051,randaugment,32,,0.3963811574968571,1.5875904433892493e-07,,296,features.5,False,,9.059494097959748e-05,0.9206437253390193,,adamw,,,warmup_cosine,,5.0,0.0021095838360353568,PRUNED
23,0.7203960418701172,2026-05-04 21:25:41.455742,2026-05-04 21:51:08.274803,0 days 00:25:26.819061,randaugment,32,,0.4159138438310528,3.8399413965170595e-07,,274,features.5,False,,0.0001549628845092565,0.19090533001816565,,adamw,,,warmup_cosine,,10.0,0.0018192684977500534,PRUNED
24,,2026-05-04 21:51:08.472426,2026-05-04 22:05:02.725558,0 days 00:13:54.253132,randaugment,32,,0.14261732387776677,5.913525949322324e-07,,336,features.5,False,,0.00014310937745317095,0.04513158088726899,,adamw,,,warmup_cosine,,3.0,0.0052113679446524576,FAIL
25,0.7172276973724365,2026-05-04 22:06:08.967725,2026-05-04 22:33:14.962073,0 days 00:27:05.994348,randaugment,32,,0.1398149921035961,5.154451370820969e-07,,336,features.5,False,,0.00014605295091915996,0.049527200469922074,,adamw,,,warmup_cosine,,3.0,0.00467294158897531,PRUNED
26,0.4383498430252075,2026-05-04 22:33:17.635445,2026-05-04 22:59:56.305257,0 days 00:26:38.669812,randaugment,32,,0.25953468355875164,3.5397284510561573e-07,,307,features.5,False,,5.192022320091371e-05,0.01143357214260418,,adamw,,,warmup_cosine,,5.0,0.006934238047123724,PRUNED
27,,2026-05-04 22:59:58.925593,2026-05-05 07:09:57.073514,0 days 08:09:58.147921,randaugment,32,,0.3357350441352325,9.201583696282377e-07,,259,features.5,False,,0.0016406905009443168,0.09976264515408069,,adamw,,,warmup_cosine,,10.0,0.0016145632376116136,FAIL
28,0.8152475357055664,2026-05-05 07:09:57.637606,2026-05-05 08:02:00.700149,0 days 00:52:03.062543,randaugment,32,,0.32624523627256136,1.3093310334961408e-06,,267,features.5,False,,0.0015648206274619203,0.08484519231224062,,adamw,,,warmup_cosine,,10.0,0.0016861706720400639,PRUNED
29,0.8304950594902039,2026-05-05 08:02:05.715847,2026-05-05 09:29:20.179183,0 days 01:27:14.463336,moderate,64,,0.14792078575823311,,0.2,343,none,False,,0.0008366535761890684,0.1749327308717197,,adamw,5.0,,reduce_on_plateau,,,0.0033187067205842527,PRUNED
30,0.822838306427002,2026-05-05 09:29:23.002191,2026-05-05 10:08:40.584949,0 days 00:39:17.582758,minimal,64,,0.2019796076799773,,0.1,402,none,False,,0.00034105091653967886,0.6211806403031701,,adamw,2.0,,reduce_on_plateau,,,0.005708192359384897,PRUNED
31,0.7200660109519958,2026-05-05 10:08:40.740953,2026-05-05 10:37:07.679973,0 days 00:28:26.939020,aggressive,128,,0.26536563987708517,3.88410291112636e-06,,209,features.6,False,,0.0018706938137393494,0.054547447560158176,,adam,,,warmup_cosine,,3.0,0.0006046160272731705,PRUNED
32,0.46468648314476013,2026-05-05 10:37:07.850980,2026-05-05 11:01:53.288172,0 days 00:24:45.437192,minimal,32,,0.443205626266593,,,360,features.5,False,0.2,0.00408123686946237,0.10053275434710883,0.8448619882930132,sgd,,,step,5.0,,0.0006993105446289468,PRUNED
