experiment,trial,top1,top5,batch_size,augmentation_level,freeze_backbone,fine_tune_from_layer,fc_hidden_size,dropout_rate,lr_multiplier_backbone,optimizer,lr,weight_decay,scheduler,step_size,gamma,factor,patience,momentum,warmup_epochs,eta_min,pct_start,div_factor
densenet161,6,0.6617161631584167,,128,randaugment,False,denseblock4,484,0.45093574135239245,0.019611076185240744,adamw,0.0005731537801106999,0.0030458224385894067,step,15.0,0.1,,,,,,,
densenet161,7,0.82481849193573,,128,randaugment,False,none,394,0.3607845038010402,0.016406668852656958,adam,0.0031115931750282638,0.00019918920492197507,cosine,,,,,,,3.3916008494386095e-07,,
densenet161,8,0.6424422264099121,,64,minimal,False,denseblock3,406,0.21230894497634234,0.005687504751255328,sgd,0.08088298191148205,5.4994264803456034e-05,reduce_on_plateau,,,0.1,2.0,0.9738242341418852,,,,
densenet161,9,0.7145874500274658,,64,randaugment,False,none,413,0.37880629639810726,0.20673164150667198,sgd,0.04170871302599373,0.0006706271090367463,step,10.0,0.5,,,0.9647437405302197,,,,
densenet161,10,0.815841555595398,,64,aggressive,False,none,261,0.10594871528771761,0.07259148983360236,adamw,0.0005620000511958316,0.03691979171780843,reduce_on_plateau,,,0.5,2.0,,,,,
densenet161,12,0.7568976879119873,,128,aggressive,False,none,356,0.31447543547910384,0.030918579860969398,adam,0.001887745790142909,1.5629229179122378e-05,cosine,,,,,,,1.1401357990728682e-07,,
densenet161,13,0.7584158182144165,,128,aggressive,False,none,235,0.2390685067924319,0.08262906880792462,adam,0.0014242056919048845,0.00017217578171367705,cosine,,,,,,,9.356384582496505e-06,,
densenet161,14,0.7421122193336487,,128,aggressive,False,none,352,0.3508150217263567,0.0210258951442756,adamw,0.0010800931836306793,0.013450549446761013,cosine,,,,,,,7.028279335278071e-07,,
densenet161,15,0.40118810534477234,,64,randaugment,False,none,496,0.22137852035542321,0.03867548608898807,adam,0.0035927186383067837,1.181613315175495e-05,one_cycle,,,,,,,,0.3,10.0
densenet161,16,0.5818482041358948,,64,aggressive,False,none,422,0.1693724923519421,0.011776486695596769,adamw,5.370203809578864e-05,0.0900602049993969,cosine,,,,,,,1.0608654519448874e-07,,
densenet161,19,0.6055445671081543,,128,minimal,False,none,323,0.27035197021713964,0.14051500996369046,adam,0.0040312189202095575,0.00024178970391001178,reduce_on_plateau,,,0.2,5.0,,,,,
densenet161,20,0.7043564319610596,,64,moderate,False,none,220,0.3759561693398768,0.01143357214260418,adamw,0.00029796030658228836,0.006459957358234033,cosine,,,,,,,1.6525238146992823e-06,,
densenet161,21,0.7235643267631531,,128,randaugment,False,denseblock4,381,0.1763370013250591,0.03780927837759566,adam,0.0019631722882211904,0.0003782353874721567,reduce_on_plateau,,,0.1,2.0,,,,,
densenet161,22,0.74244225025177,,32,aggressive,False,denseblock3,456,0.32553059370889303,0.1416165495188204,adamw,0.0009665928657709278,0.014993473167978322,warmup_cosine,,,,,,10.0,6.260849251258157e-07,,
densenet161,23,0.7033003568649292,,128,aggressive,False,none,304,0.41335786549045794,0.05551304146307996,adamw,0.00021812987552234924,0.00439498311430612,one_cycle,,,,,,,,0.2,50.0
