number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
21,0.8237623572349548,2026-05-08 11:32:32.287575,2026-05-08 12:17:12.791892,0 days 00:44:40.504317,randaugment,32,,0.11663430099210206,,,331,none,False,0.1,0.001294351101505086,0.012131553066415704,,adamw,,,step,5.0,,0.0018713185255353332,PRUNED
22,0.8552474975585938,2026-05-08 12:17:12.941082,2026-05-08 13:36:09.134941,0 days 01:18:56.193859,randaugment,64,,0.07576722444340392,5.988359749990569e-07,,375,none,False,,0.0006915740887273893,0.029954835325979853,,adamw,,,cosine,,,0.013768125630464569,COMPLETE
23,0.801716148853302,2026-05-08 13:36:09.290758,2026-05-08 13:52:57.044717,0 days 00:16:47.753959,randaugment,64,,0.07227407255866615,4.0369238212640966e-07,,422,none,False,,0.0015832047484894902,0.01305378589273199,,adamw,,,cosine,,,0.024858052787627267,PRUNED
24,0.8588778972625732,2026-05-08 13:52:57.201211,2026-05-08 15:12:02.698611,0 days 01:19:05.497400,randaugment,64,,0.11383173144491862,1.2069557084321893e-06,,276,none,False,,0.0005656170996240247,0.049031456248910636,,adamw,,,cosine,,,0.007204715634751562,COMPLETE
25,0.8048844933509827,2026-05-08 15:12:02.869141,2026-05-08 15:29:22.241459,0 days 00:17:19.372318,randaugment,64,,0.12511596298548788,1.2724787405181648e-06,,284,none,False,,0.0002909617568635495,0.052307398488125836,,adamw,,,cosine,,,0.007109441685832622,PRUNED
26,0.7819802165031433,2026-05-08 15:29:22.414767,2026-05-08 15:58:41.493392,0 days 00:29:19.078625,aggressive,64,,0.25195153685448396,4.370471489831399e-06,,334,features.5,False,,0.0005528717097495807,0.09190154645278305,,adamw,,,warmup_cosine,,3.0,0.0037107314374556755,PRUNED
27,0.7538613677024841,2026-05-08 15:58:41.633617,2026-05-08 16:15:47.741484,0 days 00:17:06.107867,minimal,64,,0.05651213600883979,,0.2,271,none,False,,0.0017904330917397537,0.20080766981978726,,adamw,2.0,,reduce_on_plateau,,,0.004694911396530721,PRUNED
28,0.737227737903595,2026-05-08 16:15:47.887000,2026-05-08 16:42:50.523743,0 days 00:27:02.636743,moderate,64,,0.0013745591908471688,,0.5,224,none,False,,8.468452448099091e-05,0.04095124141236962,,adamw,5.0,,reduce_on_plateau,,,0.020342584574131926,PRUNED
29,0.7459405660629272,2026-05-08 16:42:50.677813,2026-05-08 16:54:38.599571,0 days 00:11:47.921758,randaugment,128,,0.15483330191112793,8.468228623096451e-07,,349,features.6,False,,0.002367569333038902,0.018340726595694596,,adam,,,warmup_cosine,,10.0,1.1308411801016205e-05,PRUNED
30,0.7061386108398438,2026-05-08 16:54:38.786477,2026-05-08 17:13:23.438589,0 days 00:18:44.652112,minimal,32,,0.19044642680479085,,,207,features.5,False,0.2,0.00423834297313077,0.6466302322747435,0.826295492395921,sgd,,,step,10.0,,0.0006549980954066145,PRUNED
